time,loc,eci,source
2012,ABW,-0.0118377036700318,BACI
2012,ABW,,BACI
2013,ABW,-0.0203853979489187,BACI
2013,ABW,,BACI
2014,ABW,-0.3506764509082505,BACI
2014,ABW,,BACI
2015,ABW,-0.8398857109144142,BACI
2015,ABW,,BACI
2016,ABW,-0.3350981316162721,BACI
2016,ABW,,BACI
2017,ABW,-0.4712868101520259,BACI
2017,ABW,,BACI
2018,ABW,-0.3588683241100404,BACI
2018,ABW,,BACI
2019,ABW,-0.8235868341528351,BACI
2019,ABW,,BACI
2020,ABW,-0.9340185821325712,BACI
2020,ABW,,BACI
2021,ABW,-0.7573532453892399,BACI
2021,ABW,,BACI
2022,ABW,-0.9827483898467014,BACI
2022,ABW,,BACI
2023,ABW,-0.8601426224655049,BACI
2023,ABW,,BACI
2024,ABW,-1.0560530131192178,BACI
2024,ABW,,BACI
2025,ABW,-1.266246908612625,SSP2
2025,ABW,,SSP2
2030,ABW,-1.2748927302506874,SSP2
2030,ABW,,SSP2
2035,ABW,-1.2364136663052188,SSP2
2035,ABW,,SSP2
2040,ABW,-1.216256594431403,SSP2
2040,ABW,,SSP2
2045,ABW,-1.2208428439344217,SSP2
2045,ABW,,SSP2
2050,ABW,-1.234161246027175,SSP2
2050,ABW,,SSP2
2055,ABW,-1.22321985245382,SSP2
2055,ABW,,SSP2
2060,ABW,-1.2719798630388586,SSP2
2060,ABW,,SSP2
2065,ABW,-1.272802969854534,SSP2
2065,ABW,,SSP2
2070,ABW,-1.3352285898858458,SSP2
2070,ABW,,SSP2
2075,ABW,-1.3321777251618525,SSP2
2075,ABW,,SSP2
2080,ABW,-1.3435471254401503,SSP2
2080,ABW,,SSP2
2085,ABW,-1.3259507332980125,SSP2
2085,ABW,,SSP2
2090,ABW,-1.3276667631032797,SSP2
2090,ABW,,SSP2
2095,ABW,-1.3327378765583513,SSP2
2095,ABW,,SSP2
2100,ABW,-1.3160921748303112,SSP2
2100,ABW,,SSP2
2012,AFG,-0.0615015125811121,BACI
2012,AFG,,BACI
2013,AFG,0.0036090794054542,BACI
2013,AFG,,BACI
2014,AFG,-0.346203262312061,BACI
2014,AFG,,BACI
2015,AFG,-0.3522144266766692,BACI
2015,AFG,,BACI
2016,AFG,-0.4812130526891502,BACI
2016,AFG,,BACI
2017,AFG,-0.0025000970385573,BACI
2017,AFG,,BACI
2018,AFG,-0.1580576251325628,BACI
2018,AFG,,BACI
2019,AFG,0.4335796467780843,BACI
2019,AFG,,BACI
2020,AFG,-0.1276584565669176,BACI
2020,AFG,,BACI
2021,AFG,0.0850523358059783,BACI
2021,AFG,,BACI
2022,AFG,-0.094288922838486,BACI
2022,AFG,,BACI
2023,AFG,-0.2473863590080331,BACI
2023,AFG,,BACI
2024,AFG,,BACI
2024,AFG,-0.1114271043971157,BACI
2012,AGO,-0.0102898563965961,BACI
2012,AGO,,BACI
2013,AGO,-0.6101986346643825,BACI
2013,AGO,,BACI
2014,AGO,-0.7666990300033457,BACI
2014,AGO,,BACI
2015,AGO,0.0150079077806837,BACI
2015,AGO,,BACI
2016,AGO,-0.0813236049540289,BACI
2016,AGO,,BACI
2017,AGO,0.1177484358055119,BACI
2017,AGO,,BACI
2018,AGO,0.1506827460585812,BACI
2018,AGO,,BACI
2019,AGO,0.1362975688987176,BACI
2019,AGO,,BACI
2020,AGO,0.3683403098785751,BACI
2020,AGO,,BACI
2021,AGO,-0.0181029774847051,BACI
2021,AGO,,BACI
2022,AGO,0.5338275897444598,BACI
2022,AGO,,BACI
2023,AGO,0.2876612116458052,BACI
2023,AGO,,BACI
2024,AGO,0.5807623009577483,BACI
2024,AGO,,BACI
